artist,genres
Mal Blum,"['anti-folk', 'bubblegrunge', 'folk punk', 'indie pop']"
Ariana Grande Featuring Big Sean,"['dance pop', 'pop']"
Riley Green,['contemporary country']
Cardi B Featuring Migos,"['dance pop', 'pop', 'pop rap', 'rap']"
Childish Gambino,"['atl hip hop', 'hip hop', 'rap']"
Nanahira,"['denpa-kei', 'kawaii future bass', 'touhou']"
Anorexia Nervosa,"['black metal', 'french black metal', 'french metal', 'symphonic black metal']"
Mortification,"['australian thrash metal', 'christian hardcore', 'christian metal', 'christian punk', 'deathrash']"
Runaway June,"['contemporary country', 'country pop']"
La Adictiva Banda San José de Mesillas,"['banda', 'musica mexicana', 'nueva musica mexicana', 'ranchera']"
Thorium,"['danish death metal', 'danish metal']"
The Chainsmokers Featuring Halsey,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']"
Post Malone Featuring 21 Savage,"['dfw rap', 'melodic rap', 'rap']"
Drake Featuring Majid Jordan,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Ricky Skaggs,"['bluegrass', 'bluegrass gospel', 'country', 'country rock', 'mandolin', 'old-time', 'progressive bluegrass']"
Colbie Caillat,"['acoustic pop', 'dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']"
Ever So Blue,['background piano']
Cardi B Featuring 21 Savage,"['dance pop', 'pop', 'pop rap', 'rap']"
David Lynch,"['dark ambient', 'dark jazz', 'montana indie']"
Nego do Borel,"['funk carioca', 'funk das antigas', 'funk ostentacao', 'funk pop']"
Intervals,"['djent', 'instrumental djent', 'instrumental rock']"
Wasted Youth,"['california hardcore', 'crossover thrash', 'hardcore punk', 'punk', 'thrash core']"
Linkin Park,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']"
Chance The Rapper Featuring Lil Wayne & 2 Chainz,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap']"
Natti Natasha x Ozuna,"['latin', 'latin pop', 'rap latina', 'reggaeton', 'trap latino']"
Lil Jon & The East Side Boyz,"['atl hip hop', 'atlanta bass', 'crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
"YG Featuring Tyga, Snoop Dogg & Nipsey Hussle","['cali rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Jamie Foxx Featuring Chris Brown,"['contemporary r&b', 'hip hop', 'hip pop', 'neo soul', 'pop rap', 'r&b', 'southern hip hop', 'urban contemporary']"
Sheck Wes,"['rap', 'trap', 'underground hip hop', 'vapor trap']"
Anirudh Ravichander,"['desi hip hop', 'filmi', 'tamil hip hop']"
Koh Lantana,['atmosphere']
Glee Cast Featuring Gwyneth Paltrow,"['glee club', 'hollywood', 'post-teen pop']"
Chance The Rapper Featuring MadeinTYO & DaBaby,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap']"
Rob $tone Featuring J. Davi$ & Spooks,['san diego rap']
"Ariana Grande, Miley Cyrus & Lana Del Rey","['dance pop', 'pop']"
Nicki Minaj Featuring Rihanna,"['dance pop', 'hip pop', 'pop', 'pop rap', 'queens hip hop']"
Regina Mira,"['background music', 'focus']"
Rihanna Featuring Mikky Ekko,"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']"
Ultra Vomit,['french rock']
Miguel,"['dance pop', 'pop', 'r&b', 'urban contemporary']"
Howard Shore,"['canadian classical', 'canadian soundtrack', 'middle earth', 'orchestral soundtrack', 'scorecore', 'soundtrack', 'video game music']"
